pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL	Number_of_nodes_update
Platelet calcium homeostasis	R-HSA-418360	 Reactome	 hsapiens	35	431	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-418360	30.0
Negative regulation of FGFR4 signaling	R-HSA-5654733	 Reactome	 hsapiens	35	459	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654733	31.0
DAP12 signaling	R-HSA-2424491	 Reactome	 hsapiens	35	484	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2424491	30.0
Termination of translesion DNA synthesis	R-HSA-5656169	 Reactome	 hsapiens	35	526	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5656169	32.0
SUMOylation of SUMOylation proteins	R-HSA-4085377	 Reactome	 hsapiens	35	594	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4085377	34.0
Transport of the SLBP independent Mature mRNA	R-HSA-159227	 Reactome	 hsapiens	35	706	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159227	34.0
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	R-HSA-9615017	 Reactome	 hsapiens	34	84	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9615017	28.0
Activation of BH3-only proteins	R-HSA-114452	 Reactome	 hsapiens	34	97	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-114452	30.0
Nuclear signaling by ERBB4	R-HSA-1251985	 Reactome	 hsapiens	34	98	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1251985	32.0
PERK regulates gene expression	R-HSA-381042	 Reactome	 hsapiens	34	128	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-381042	32.0
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	R-HSA-2173796	 Reactome	 hsapiens	34	132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173796	32.0
Regulation of MECP2 expression and activity	R-HSA-9022692	 Reactome	 hsapiens	34	140	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9022692	33.0
Signaling by NOTCH2	R-HSA-1980145	 Reactome	 hsapiens	34	183	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1980145	33.0
Synthesis of bile acids and bile salts via 27-hydroxycholesterol	R-HSA-193807	 Reactome	 hsapiens	34	228	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-193807	15.0
Activation of kainate receptors upon glutamate binding	R-HSA-451326	 Reactome	 hsapiens	34	312	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-451326	32.0
RNA Polymerase I Promoter Opening	R-HSA-73728	 Reactome	 hsapiens	34	322	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73728	63.0
Recycling pathway of L1	R-HSA-437239	 Reactome	 hsapiens	34	342	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-437239	28.0
Downstream signaling of activated FGFR4	R-HSA-5654716	 Reactome	 hsapiens	34	585	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654716	27.0
Late endosomal microautophagy	R-HSA-9615710	 Reactome	 hsapiens	34	674	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9615710	34.0
BMAL1:CLOCK,NPAS2 activates circadian gene expression	R-HSA-1368108	 Reactome	 hsapiens	33	178	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1368108	27.0
Metal ion SLC transporters	R-HSA-425410	 Reactome	 hsapiens	33	178	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-425410	22.0
Downregulation of ERBB2 signaling	R-HSA-8863795	 Reactome	 hsapiens	33	216	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8863795	29.0
MET promotes cell motility	R-HSA-8875878	 Reactome	 hsapiens	33	235	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8875878	29.0
Formation of the HIV-1 Early Elongation Complex	R-HSA-167158	 Reactome	 hsapiens	33	324	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167158	33.0
Signaling by ERBB2 in Cancer	R-HSA-1227990	 Reactome	 hsapiens	33	373	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1227990	26.0
Negative regulation of FGFR3 signaling	R-HSA-5654732	 Reactome	 hsapiens	33	415	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654732	29.0
Disassembly of the destruction complex and recruitment of AXIN to the membrane	R-HSA-4641262	 Reactome	 hsapiens	33	429	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4641262	31.0
Telomere Extension By Telomerase	R-HSA-171319	 Reactome	 hsapiens	33	463	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-171319	23.0
Processive synthesis on the C-strand of the telomere	R-HSA-174414	 Reactome	 hsapiens	33	468	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174414	19.0
Signaling by CSF3 (G-CSF)	R-HSA-9674555	 Reactome	 hsapiens	33	587	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9674555	30.0
Pyroptosis	R-HSA-5620971	 Reactome	 hsapiens	32	124	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5620971	28.0
Cyclin A/B1/B2 associated events during G2/M transition	R-HSA-69273	 Reactome	 hsapiens	32	195	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69273	25.0
Synthesis of PIPs at the Golgi membrane	R-HSA-1660514	 Reactome	 hsapiens	32	204	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660514	18.0
ER Quality Control Compartment (ERQC)	R-HSA-901032	 Reactome	 hsapiens	32	251	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-901032	21.0
Myogenesis	R-HSA-525793	 Reactome	 hsapiens	32	257	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-525793	30.0
Activated NOTCH1 Transmits Signal to the Nucleus	R-HSA-2122948	 Reactome	 hsapiens	32	286	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2122948	31.0
Metalloprotease DUBs	R-HSA-5689901	 Reactome	 hsapiens	32	326	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5689901	37.0
Adrenaline,noradrenaline inhibits insulin secretion	R-HSA-400042	 Reactome	 hsapiens	32	355	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-400042	28.0
Glutamate Neurotransmitter Release Cycle	R-HSA-210500	 Reactome	 hsapiens	32	364	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-210500	18.0
Signaling by ERBB2 KD Mutants	R-HSA-9664565	 Reactome	 hsapiens	32	370	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9664565	25.0
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	R-HSA-5619107	 Reactome	 hsapiens	32	495	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5619107	31.0
Downstream signaling of activated FGFR3	R-HSA-5654708	 Reactome	 hsapiens	32	523	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654708	25.0
Collagen degradation	R-HSA-1442490	 Reactome	 hsapiens	31	50	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1442490	25.0
Mitophagy	R-HSA-5205647	 Reactome	 hsapiens	31	129	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5205647	29.0
Caspase activation via extrinsic apoptotic signalling pathway	R-HSA-5357769	 Reactome	 hsapiens	31	152	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5357769	27.0
HDMs demethylate histones	R-HSA-3214842	 Reactome	 hsapiens	31	177	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3214842	50.0
Signaling by EGFR in Cancer	R-HSA-1643713	 Reactome	 hsapiens	31	212	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1643713	25.0
Acyl chain remodelling of PS	R-HSA-1482801	 Reactome	 hsapiens	31	219	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482801	23.0
Synthesis of PIPs at the early endosome membrane	R-HSA-1660516	 Reactome	 hsapiens	31	226	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660516	16.0
Signaling by NTRK2 (TRKB)	R-HSA-9006115	 Reactome	 hsapiens	31	231	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9006115	25.0
A tetrasaccharide linker sequence is required for GAG synthesis	R-HSA-1971475	 Reactome	 hsapiens	31	250	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1971475	26.0
Activation of G protein gated Potassium channels	R-HSA-1296041	 Reactome	 hsapiens	31	461	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1296041	29.0
RUNX2 regulates osteoblast differentiation	R-HSA-8940973	 Reactome	 hsapiens	30	96	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8940973	24.0
TRAF6 mediated IRF7 activation	R-HSA-933541	 Reactome	 hsapiens	30	163	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-933541	29.0
Regulation of pyruvate dehydrogenase (PDH) complex	R-HSA-204174	 Reactome	 hsapiens	30	238	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-204174	15.0
Norepinephrine Neurotransmitter Release Cycle	R-HSA-181430	 Reactome	 hsapiens	30	253	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-181430	18.0
Sema4D in semaphorin signaling	R-HSA-400685	 Reactome	 hsapiens	30	256	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-400685	25.0
SHC1 events in ERBB2 signaling	R-HSA-1250196	 Reactome	 hsapiens	30	274	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1250196	22.0
Recognition of DNA damage by PCNA-containing replication complex	R-HSA-110314	 Reactome	 hsapiens	30	408	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110314	30.0
FRS-mediated FGFR2 signaling	R-HSA-5654700	 Reactome	 hsapiens	30	420	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654700	25.0
Signaling by FGFR3 point mutants in cancer	R-HSA-8853338	 Reactome	 hsapiens	30	424	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8853338	22.0
Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	R-HSA-5693554	 Reactome	 hsapiens	30	425	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5693554	26.0
Signaling by FGFR3 in disease	R-HSA-5655332	 Reactome	 hsapiens	30	432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5655332	22.0
CD209 (DC-SIGN) signaling	R-HSA-5621575	 Reactome	 hsapiens	29	119	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5621575	21.0
The role of Nef in HIV-1 replication and disease pathogenesis	R-HSA-164952	 Reactome	 hsapiens	29	134	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164952	25.0
PIWI-interacting RNA (piRNA) biogenesis	R-HSA-5601884	 Reactome	 hsapiens	29	150	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5601884	27.0
TRAF6 mediated NF-kB activation	R-HSA-933542	 Reactome	 hsapiens	29	201	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-933542	24.0
G0 and Early G1	R-HSA-1538133	 Reactome	 hsapiens	29	204	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1538133	27.0
Long-term potentiation	R-HSA-9620244	 Reactome	 hsapiens	29	428	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9620244	24.0
EGR2 and SOX10-mediated initiation of Schwann cell myelination	R-HSA-9619665	 Reactome	 hsapiens	28	70	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9619665	28.0
HSF1-dependent transactivation	R-HSA-3371571	 Reactome	 hsapiens	28	111	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3371571	24.0
WNT ligand biogenesis and trafficking	R-HSA-3238698	 Reactome	 hsapiens	28	127	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3238698	26.0
G1/S-Specific Transcription	R-HSA-69205	 Reactome	 hsapiens	28	128	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-69205	28.0
LDL clearance	R-HSA-8964038	 Reactome	 hsapiens	28	132	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8964038	17.0
NOTCH3 Activation and Transmission of Signal to the Nucleus	R-HSA-9013507	 Reactome	 hsapiens	28	147	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013507	25.0
Signaling by FLT3 fusion proteins	R-HSA-9703465	 Reactome	 hsapiens	28	177	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9703465	19.0
Termination of O-glycan biosynthesis	R-HSA-977068	 Reactome	 hsapiens	28	197	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-977068	24.0
Deadenylation of mRNA	R-HSA-429947	 Reactome	 hsapiens	28	283	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-429947	24.0
Downregulation of TGF-beta receptor signaling	R-HSA-2173788	 Reactome	 hsapiens	28	296	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173788	26.0
SHC-mediated cascade:FGFR2	R-HSA-5654699	 Reactome	 hsapiens	28	320	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654699	23.0
FRS-mediated FGFR1 signaling	R-HSA-5654693	 Reactome	 hsapiens	28	347	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654693	23.0
mTORC1-mediated signalling	R-HSA-166208	 Reactome	 hsapiens	28	352	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166208	24.0
Dopamine Neurotransmitter Release Cycle	R-HSA-212676	 Reactome	 hsapiens	28	494	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-212676	23.0
Metabolism of Angiotensinogen to Angiotensins	R-HSA-2022377	 Reactome	 hsapiens	27	69	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2022377	17.0
Constitutive Signaling by AKT1 E17K in Cancer	R-HSA-5674400	 Reactome	 hsapiens	27	105	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5674400	23.0
ATF4 activates genes in response to endoplasmic reticulum  stress	R-HSA-380994	 Reactome	 hsapiens	27	109	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-380994	27.0
Interleukin-7 signaling	R-HSA-1266695	 Reactome	 hsapiens	27	118	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1266695	36.0
RAF-independent MAPK1/3 activation	R-HSA-112409	 Reactome	 hsapiens	27	139	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-112409	23.0
Cellular hexose transport	R-HSA-189200	 Reactome	 hsapiens	27	145	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-189200	20.0
Mitochondrial calcium ion transport	R-HSA-8949215	 Reactome	 hsapiens	27	163	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8949215	23.0
Downregulation of SMAD2/3:SMAD4 transcriptional activity	R-HSA-2173795	 Reactome	 hsapiens	27	174	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2173795	23.0
Regulation of IFNA signaling	R-HSA-912694	 Reactome	 hsapiens	27	230	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-912694	26.0
RHO GTPases activate PAKs	R-HSA-5627123	 Reactome	 hsapiens	27	239	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5627123	24.0
Gap-filling DNA repair synthesis and ligation in GG-NER	R-HSA-5696397	 Reactome	 hsapiens	27	325	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5696397	25.0
FRS-mediated FGFR4 signaling	R-HSA-5654712	 Reactome	 hsapiens	27	360	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654712	22.0
Unblocking of NMDA receptors, glutamate binding and activation	R-HSA-438066	 Reactome	 hsapiens	27	434	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-438066	22.0
Estrogen-dependent nuclear events downstream of ESR-membrane signaling	R-HSA-9634638	 Reactome	 hsapiens	26	63	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9634638	24.0
Initiation of Nuclear Envelope (NE) Reformation	R-HSA-2995383	 Reactome	 hsapiens	26	65	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2995383	19.0
Glycogen breakdown (glycogenolysis)	R-HSA-70221	 Reactome	 hsapiens	26	105	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-70221	17.0
ERK/MAPK targets	R-HSA-198753	 Reactome	 hsapiens	26	113	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-198753	22.0
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	R-HSA-8862803	 Reactome	 hsapiens	26	118	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8862803	22.0
Neurodegenerative Diseases	R-HSA-8863678	 Reactome	 hsapiens	26	118	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8863678	22.0
Intrinsic Pathway of Fibrin Clot Formation	R-HSA-140837	 Reactome	 hsapiens	26	156	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140837	23.0
Glycogen synthesis	R-HSA-3322077	 Reactome	 hsapiens	26	159	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3322077	16.0
Signaling by ERBB2 TMD/JMD mutants	R-HSA-9665686	 Reactome	 hsapiens	26	241	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9665686	22.0
Acetylcholine Neurotransmitter Release Cycle	R-HSA-264642	 Reactome	 hsapiens	26	242	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-264642	17.0
SHC-mediated cascade:FGFR1	R-HSA-5654688	 Reactome	 hsapiens	26	289	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654688	21.0
TNFR1-induced NFkappaB signaling pathway	R-HSA-5357956	 Reactome	 hsapiens	26	303	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5357956	26.0
Ras activation upon Ca2+ influx through NMDA receptor	R-HSA-442982	 Reactome	 hsapiens	26	353	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-442982	21.0
G-protein activation	R-HSA-202040	 Reactome	 hsapiens	26	411	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-202040	24.0
APC-Cdc20 mediated degradation of Nek2A	R-HSA-179409	 Reactome	 hsapiens	26	432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-179409	26.0
FGFR2 alternative splicing	R-HSA-6803529	 Reactome	 hsapiens	26	628	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6803529	26.0
Assembly of active LPL and LIPC lipase complexes	R-HSA-8963889	 Reactome	 hsapiens	25	52	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-8963889	18.0
NOTCH3 Intracellular Domain Regulates Transcription	R-HSA-9013508	 Reactome	 hsapiens	25	140	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9013508	25.0
Signalling to RAS	R-HSA-167044	 Reactome	 hsapiens	25	155	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-167044	20.0
Chondroitin sulfate biosynthesis	R-HSA-2022870	 Reactome	 hsapiens	25	158	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2022870	20.0
Common Pathway of Fibrin Clot Formation	R-HSA-140875	 Reactome	 hsapiens	25	171	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-140875	22.0
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	R-HSA-1236382	 Reactome	 hsapiens	25	206	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1236382	19.0
Signaling by Ligand-Responsive EGFR Variants in Cancer	R-HSA-5637815	 Reactome	 hsapiens	25	206	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5637815	19.0
SHC-mediated cascade:FGFR4	R-HSA-5654719	 Reactome	 hsapiens	25	272	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654719	20.0
CTLA4 inhibitory signaling	R-HSA-389513	 Reactome	 hsapiens	25	278	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-389513	21.0
FRS-mediated FGFR3 signaling	R-HSA-5654706	 Reactome	 hsapiens	25	320	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654706	20.0
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	R-HSA-9609523	 Reactome	 hsapiens	25	324	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9609523	22.0
Inactivation of CSF3 (G-CSF) signaling	R-HSA-9705462	 Reactome	 hsapiens	25	354	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9705462	25.0
VxPx cargo-targeting to cilium	R-HSA-5620916	 Reactome	 hsapiens	25	388	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5620916	21.0
Synthesis, secretion, and deacylation of Ghrelin	R-HSA-422085	 Reactome	 hsapiens	24	46	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-422085	19.0
Transcriptional regulation of pluripotent stem cells	R-HSA-452723	 Reactome	 hsapiens	24	104	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-452723	24.0
Rap1 signalling	R-HSA-392517	 Reactome	 hsapiens	24	107	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-392517	16.0
STING mediated induction of host immune responses	R-HSA-1834941	 Reactome	 hsapiens	24	140	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1834941	16.0
RORA activates gene expression	R-HSA-1368082	 Reactome	 hsapiens	24	150	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1368082	18.0
Sema4D induced cell migration and growth-cone collapse	R-HSA-416572	 Reactome	 hsapiens	24	191	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-416572	21.0
IKK complex recruitment mediated by RIP1	R-HSA-937041	 Reactome	 hsapiens	24	192	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-937041	25.0
RHO GTPases Activate ROCKs	R-HSA-5627117	 Reactome	 hsapiens	24	204	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5627117	20.0
BBSome-mediated cargo-targeting to cilium	R-HSA-5620922	 Reactome	 hsapiens	24	305	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5620922	23.0
Translesion Synthesis by POLH	R-HSA-110320	 Reactome	 hsapiens	24	332	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-110320	19.0
APC/C:Cdc20 mediated degradation of Cyclin B	R-HSA-174048	 Reactome	 hsapiens	24	401	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-174048	24.0
Regulation of gene expression in beta cells	R-HSA-210745	 Reactome	 hsapiens	23	30	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-210745	21.0
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	R-HSA-6803204	 Reactome	 hsapiens	23	42	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6803204	20.0
Interleukin-37 signaling	R-HSA-9008059	 Reactome	 hsapiens	23	55	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9008059	21.0
Regulation of TP53 Activity through Methylation	R-HSA-6804760	 Reactome	 hsapiens	23	72	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-6804760	19.0
Gastrin-CREB signalling pathway via PKC and MAPK	R-HSA-881907	 Reactome	 hsapiens	23	81	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-881907	18.0
Apoptotic factor-mediated response	R-HSA-111471	 Reactome	 hsapiens	23	102	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-111471	20.0
Pre-NOTCH Processing in Golgi	R-HSA-1912420	 Reactome	 hsapiens	23	117	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1912420	18.0
NOTCH2 Activation and Transmission of Signal to the Nucleus	R-HSA-2979096	 Reactome	 hsapiens	23	135	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-2979096	22.0
ZBP1(DAI) mediated induction of type I IFNs	R-HSA-1606322	 Reactome	 hsapiens	23	142	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1606322	21.0
activated TAK1 mediates p38 MAPK activation	R-HSA-450302	 Reactome	 hsapiens	23	162	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-450302	20.0
Signaling by NODAL	R-HSA-1181150	 Reactome	 hsapiens	23	169	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1181150	20.0
Presynaptic function of Kainate receptors	R-HSA-500657	 Reactome	 hsapiens	23	234	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-500657	21.0
SHC-mediated cascade:FGFR3	R-HSA-5654704	 Reactome	 hsapiens	23	240	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5654704	18.0
RNA Polymerase III Transcription Termination	R-HSA-73980	 Reactome	 hsapiens	23	242	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-73980	23.0
GAB1 signalosome	R-HSA-180292	 Reactome	 hsapiens	23	252	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-180292	17.0
Ephrin signaling	R-HSA-3928664	 Reactome	 hsapiens	23	303	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3928664	19.0
Trafficking of GluR2-containing AMPA receptors	R-HSA-416993	 Reactome	 hsapiens	23	337	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-416993	17.0
Serotonin Neurotransmitter Release Cycle	R-HSA-181429	 Reactome	 hsapiens	23	342	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-181429	18.0
Defective B3GAT3 causes JDSSDHD	R-HSA-3560801	 Reactome	 hsapiens	22	41	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-3560801	20.0
PINK1-PRKN Mediated Mitophagy	R-HSA-5205685	 Reactome	 hsapiens	22	103	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5205685	22.0
Chaperone Mediated Autophagy	R-HSA-9613829	 Reactome	 hsapiens	22	112	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-9613829	21.0
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	R-HSA-164938	 Reactome	 hsapiens	22	122	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164938	20.0
Depolymerisation of the Nuclear Lamina	R-HSA-4419969	 Reactome	 hsapiens	22	124	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-4419969	15.0
JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	R-HSA-450321	 Reactome	 hsapiens	22	145	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-450321	19.0
RHO GTPases activate CIT	R-HSA-5625900	 Reactome	 hsapiens	22	154	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-5625900	20.0
