pathway	Native ID	Database	Species	Number of nodes	Number of edges	Retrieved on	URL
"""Collagen degradation"" pathway"	R-HSA-1442490	 Reactome	 hsapiens	 31	 50	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1442490
"""Translocation of SLC2A4 (GLUT4) to the plasma membrane"" pathway"	R-HSA-1445148	 Reactome	 hsapiens	 58	 485	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1445148
"""Beta defensins"" pathway"	R-HSA-1461957	 Reactome	 hsapiens	 40	 43	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1461957
"""Defensins"" pathway"	R-HSA-1461973	 Reactome	 hsapiens	 51	 57	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1461973
"""Alpha-defensins"" pathway"	R-HSA-1462054	 Reactome	 hsapiens	 11	 12	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1462054
"""Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"" pathway"	R-HSA-1474151	 Reactome	 hsapiens	 37	 144	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1474151
"""Reproduction"" pathway"	R-HSA-1474165	 Reactome	 hsapiens	 122	 2220	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1474165
"""Degradation of the extracellular matrix"" pathway"	R-HSA-1474228	 Reactome	 hsapiens	 113	 322	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1474228
"""Extracellular matrix organization"" pathway"	R-HSA-1474244	 Reactome	 hsapiens	 312	 3696	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1474244
"""Collagen formation"" pathway"	R-HSA-1474290	 Reactome	 hsapiens	 104	 2835	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1474290
"""O2/CO2 exchange in erythrocytes"" pathway"	R-HSA-1480926	 Reactome	 hsapiens	 23	 161	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1480926
"""Acyl chain remodelling of PC"" pathway"	R-HSA-1482788	 Reactome	 hsapiens	 40	 282	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482788
"""Acyl chain remodeling of CL"" pathway"	R-HSA-1482798	 Reactome	 hsapiens	 18	 90	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482798
"""Acyl chain remodelling of PS"" pathway"	R-HSA-1482801	 Reactome	 hsapiens	 31	 219	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482801
"""Acyl chain remodelling of PE"" pathway"	R-HSA-1482839	 Reactome	 hsapiens	 42	 287	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482839
"""Acyl chain remodeling of DAG and TAG"" pathway"	R-HSA-1482883	 Reactome	 hsapiens	 18	 91	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482883
"""Acyl chain remodelling of PI"" pathway"	R-HSA-1482922	 Reactome	 hsapiens	 25	 127	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482922
"""Acyl chain remodelling of PG"" pathway"	R-HSA-1482925	 Reactome	 hsapiens	 26	 192	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1482925
"""Hydrolysis of LPC"" pathway"	R-HSA-1483115	 Reactome	 hsapiens	 18	 70	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483115
"""Synthesis of PG"" pathway"	R-HSA-1483148	 Reactome	 hsapiens	 21	 50	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483148
"""Hydrolysis of LPE"" pathway"	R-HSA-1483152	 Reactome	 hsapiens	 9	 20	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483152
"""Synthesis of PA"" pathway"	R-HSA-1483166	 Reactome	 hsapiens	 65	 417	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483166
"""Synthesis of PC"" pathway"	R-HSA-1483191	 Reactome	 hsapiens	 55	 206	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483191
"""Glycerophospholipid biosynthesis"" pathway"	R-HSA-1483206	 Reactome	 hsapiens	 222	 2200	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483206
"""Synthesis of PE"" pathway"	R-HSA-1483213	 Reactome	 hsapiens	 33	 122	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483213
"""Synthesis of PI"" pathway"	R-HSA-1483226	 Reactome	 hsapiens	 14	 49	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483226
"""Synthesis of PIPs at the ER membrane"" pathway"	R-HSA-1483248	 Reactome	 hsapiens	 14	 48	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483248
"""Inositol phosphate metabolism"" pathway"	R-HSA-1483249	 Reactome	 hsapiens	 90	 879	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483249
"""PI Metabolism"" pathway"	R-HSA-1483255	 Reactome	 hsapiens	 112	 1549	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483255
"""Phospholipid metabolism"" pathway"	R-HSA-1483257	 Reactome	 hsapiens	 315	 3961	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1483257
"""DAG and IP3 signaling"" pathway"	R-HSA-1489509	 Reactome	 hsapiens	 53	 321	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1489509
"""Meiosis"" pathway"	R-HSA-1500620	 Reactome	 hsapiens	 92	 2131	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1500620
"""Cell-Cell communication"" pathway"	R-HSA-1500931	 Reactome	 hsapiens	 100	 269	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1500931
"""Signaling by Activin"" pathway"	R-HSA-1502540	 Reactome	 hsapiens	 15	 71	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1502540
"""G0 and Early G1"" pathway"	R-HSA-1538133	 Reactome	 hsapiens	 29	 204	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1538133
"""Phase II - Conjugation of compounds"" pathway"	R-HSA-156580	 Reactome	 hsapiens	 258	 1545	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156580
"""Methylation"" pathway"	R-HSA-156581	 Reactome	 hsapiens	 52	 250	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156581
"""Cytosolic sulfonation of small molecules"" pathway"	R-HSA-156584	 Reactome	 hsapiens	 71	 373	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156584
"""Amino Acid conjugation"" pathway"	R-HSA-156587	 Reactome	 hsapiens	 24	 138	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156587
"""Glucuronidation"" pathway"	R-HSA-156588	 Reactome	 hsapiens	 56	 367	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156588
"""Glutathione conjugation"" pathway"	R-HSA-156590	 Reactome	 hsapiens	 67	 350	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156590
"""Elastic fibre formation"" pathway"	R-HSA-1566948	 Reactome	 hsapiens	 36	 104	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1566948
"""Fibronectin matrix formation"" pathway"	R-HSA-1566977	 Reactome	 hsapiens	 7	 30	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1566977
"""Polo-like kinase mediated events"" pathway"	R-HSA-156711	 Reactome	 hsapiens	 18	 68	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156711
"""L13a-mediated translational silencing of Ceruloplasmin expression"" pathway"	R-HSA-156827	 Reactome	 hsapiens	 115	 3201	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156827
"""Eukaryotic Translation Elongation"" pathway"	R-HSA-156842	 Reactome	 hsapiens	 98	 4642	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156842
"""Peptide chain elongation"" pathway"	R-HSA-156902	 Reactome	 hsapiens	 93	 4622	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-156902
"""Signaling by NOTCH"" pathway"	R-HSA-157118	 Reactome	 hsapiens	 218	 3074	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-157118
"""Telomere Maintenance"" pathway"	R-HSA-157579	 Reactome	 hsapiens	 110	 1928	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-157579
"""Gap junction trafficking and regulation"" pathway"	R-HSA-157858	 Reactome	 hsapiens	 16	 59	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-157858
"""Nucleotide metabolism"" pathway"	R-HSA-15869	 Reactome	 hsapiens	 250	 3421	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-15869
"""Mitochondrial biogenesis"" pathway"	R-HSA-1592230	 Reactome	 hsapiens	 108	 571	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1592230
"""Transport of the SLBP independent Mature mRNA"" pathway"	R-HSA-159227	 Reactome	 hsapiens	 35	 706	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159227
"""Transport of the SLBP Dependant Mature mRNA"" pathway"	R-HSA-159230	 Reactome	 hsapiens	 36	 801	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159230
"""Transport of Mature mRNA Derived from an Intronless Transcript"" pathway"	R-HSA-159231	 Reactome	 hsapiens	 42	 951	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159231
"""Transport of Mature mRNAs Derived from Intronless Transcripts"" pathway"	R-HSA-159234	 Reactome	 hsapiens	 43	 1046	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159234
"""Transport of Mature mRNA derived from an Intron-Containing Transcript"" pathway"	R-HSA-159236	 Reactome	 hsapiens	 77	 4454	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159236
"""Activation of Matrix Metalloproteinases"" pathway"	R-HSA-1592389	 Reactome	 hsapiens	 35	 79	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1592389
"""Recycling of bile acids and salts"" pathway"	R-HSA-159418	 Reactome	 hsapiens	 37	 338	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159418
"""Conjugation of carboxylic acids"" pathway"	R-HSA-159424	 Reactome	 hsapiens	 24	 138	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159424
"""Gamma-carboxylation of protein precursors"" pathway"	R-HSA-159740	 Reactome	 hsapiens	 15	 65	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159740
"""Removal of aminoterminal propeptides from gamma-carboxylated proteins"" pathway"	R-HSA-159782	 Reactome	 hsapiens	 10	 10	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159782
"""Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"" pathway"	R-HSA-159854	 Reactome	 hsapiens	 16	 75	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-159854
"""ZBP1(DAI) mediated induction of type I IFNs"" pathway"	R-HSA-1606322	 Reactome	 hsapiens	 23	 142	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1606322
"""IRF3 mediated activation of type 1 IFN"" pathway"	R-HSA-1606341	 Reactome	 hsapiens	 7	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1606341
"""Sulfide oxidation to sulfate"" pathway"	R-HSA-1614517	 Reactome	 hsapiens	 22	 80	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1614517
"""Degradation of cysteine and homocysteine"" pathway"	R-HSA-1614558	 Reactome	 hsapiens	 53	 193	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1614558
"""Cysteine formation from homocysteine"" pathway"	R-HSA-1614603	 Reactome	 hsapiens	 11	 31	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1614603
"""Sulfur amino acid metabolism"" pathway"	R-HSA-1614635	 Reactome	 hsapiens	 94	 441	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1614635
"""Signaling Pathways"" pathway"	R-HSA-162582	 Reactome	 hsapiens	 2741	 63056	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162582
"""Uncoating of the HIV Virion"" pathway"	R-HSA-162585	 Reactome	 hsapiens	 8	 28	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162585
"""HIV Life Cycle"" pathway"	R-HSA-162587	 Reactome	 hsapiens	 173	 6044	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162587
"""Budding and maturation of HIV virion"" pathway"	R-HSA-162588	 Reactome	 hsapiens	 36	 970	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162588
"""Reverse Transcription of HIV RNA"" pathway"	R-HSA-162589	 Reactome	 hsapiens	 10	 79	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162589
"""Integration of provirus"" pathway"	R-HSA-162592	 Reactome	 hsapiens	 15	 82	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162592
"""Early Phase of HIV Life Cycle"" pathway"	R-HSA-162594	 Reactome	 hsapiens	 25	 198	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162594
"""Late Phase of HIV Life Cycle"" pathway"	R-HSA-162599	 Reactome	 hsapiens	 158	 5756	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162599
"""Golgi Cisternae Pericentriolar Stack Reorganization"" pathway"	R-HSA-162658	 Reactome	 hsapiens	 17	 99	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162658
"""Synthesis of dolichyl-phosphate mannose"" pathway"	R-HSA-162699	 Reactome	 hsapiens	 7	 19	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162699
"""Synthesis of glycosylphosphatidylinositol (GPI)"" pathway"	R-HSA-162710	 Reactome	 hsapiens	 36	 130	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162710
"""Attachment of GPI anchor to uPAR"" pathway"	R-HSA-162791	 Reactome	 hsapiens	 10	 33	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162791
"""HIV Infection"" pathway"	R-HSA-162906	 Reactome	 hsapiens	 257	 8464	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162906
"""Host Interactions of HIV factors"" pathway"	R-HSA-162909	 Reactome	 hsapiens	 144	 3078	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-162909
"""Glycosaminoglycan metabolism"" pathway"	R-HSA-1630316	 Reactome	 hsapiens	 179	 1415	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1630316
"""Post-translational modification: synthesis of GPI-anchored proteins"" pathway"	R-HSA-163125	 Reactome	 hsapiens	 115	 467	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163125
"""Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."" pathway"	R-HSA-163200	 Reactome	 hsapiens	 152	 3573	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163200
"""Formation of ATP by chemiosmotic coupling"" pathway"	R-HSA-163210	 Reactome	 hsapiens	 23	 452	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163210
"""Mitochondrial transcription initiation"" pathway"	R-HSA-163282	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163282
"""Macroautophagy"" pathway"	R-HSA-1632852	 Reactome	 hsapiens	 130	 1658	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1632852
"""PKA-mediated phosphorylation of key metabolic factors"" pathway"	R-HSA-163358	 Reactome	 hsapiens	 7	 29	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163358
"""Glucagon signaling in metabolic regulation"" pathway"	R-HSA-163359	 Reactome	 hsapiens	 40	 226	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163359
"""Triglyceride catabolism"" pathway"	R-HSA-163560	 Reactome	 hsapiens	 42	 119	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163560
"""PKA activation"" pathway"	R-HSA-163615	 Reactome	 hsapiens	 23	 68	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163615
"""AMPK inhibits chREBP transcriptional activation activity"" pathway"	R-HSA-163680	 Reactome	 hsapiens	 11	 50	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163680
"""Integration of energy metabolism"" pathway"	R-HSA-163685	 Reactome	 hsapiens	 144	 1286	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163685
"""Insulin effects increased synthesis of Xylulose-5-Phosphate"" pathway"	R-HSA-163754	 Reactome	 hsapiens	 10	 38	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163754
"""ChREBP activates metabolic gene expression"" pathway"	R-HSA-163765	 Reactome	 hsapiens	 8	 13	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163765
"""PP2A-mediated dephosphorylation of key metabolic factors"" pathway"	R-HSA-163767	 Reactome	 hsapiens	 9	 43	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163767
"""Keratan sulfate/keratin metabolism"" pathway"	R-HSA-1638074	 Reactome	 hsapiens	 51	 294	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1638074
"""Heparan sulfate/heparin (HS-GAG) metabolism"" pathway"	R-HSA-1638091	 Reactome	 hsapiens	 87	 769	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1638091
"""Gamma carboxylation, hypusine formation and arylsulfatase activation"" pathway"	R-HSA-163841	 Reactome	 hsapiens	 74	 309	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-163841
"""Cell Cycle"" pathway"	R-HSA-1640170	 Reactome	 hsapiens	 700	 28049	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1640170
"""Disease"" pathway"	R-HSA-1643685	 Reactome	 hsapiens	 2188	 54934	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1643685
"""Signaling by EGFR in Cancer"" pathway"	R-HSA-1643713	 Reactome	 hsapiens	 31	 212	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1643713
"""PKA activation in glucagon signalling"" pathway"	R-HSA-164378	 Reactome	 hsapiens	 23	 101	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164378
"""Minus-strand DNA synthesis"" pathway"	R-HSA-164516	 Reactome	 hsapiens	 10	 79	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164516
"""Plus-strand DNA synthesis"" pathway"	R-HSA-164525	 Reactome	 hsapiens	 7	 21	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164525
"""2-LTR circle formation"" pathway"	R-HSA-164843	 Reactome	 hsapiens	 13	 46	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164843
"""Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters"" pathway"	R-HSA-164938	 Reactome	 hsapiens	 22	 122	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164938
"""Nef mediated downregulation of CD28 cell surface expression"" pathway"	R-HSA-164939	 Reactome	 hsapiens	 3	 3	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164939
"""Nef mediated downregulation of MHC class I complex cell surface expression"" pathway"	R-HSA-164940	 Reactome	 hsapiens	 11	 69	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164940
"""Nef and signal transduction"" pathway"	R-HSA-164944	 Reactome	 hsapiens	 9	 12	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164944
"""The role of Nef in HIV-1 replication and disease pathogenesis"" pathway"	R-HSA-164952	 Reactome	 hsapiens	 29	 134	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-164952
"""Rev-mediated nuclear export of HIV RNA"" pathway"	R-HSA-165054	 Reactome	 hsapiens	 39	 595	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-165054
"""Collagen biosynthesis and modifying enzymes"" pathway"	R-HSA-1650814	 Reactome	 hsapiens	 76	 2725	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1650814
"""Activation of PKB"" pathway"	R-HSA-165158	 Reactome	 hsapiens	 7	 16	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-165158
"""MTOR signalling"" pathway"	R-HSA-165159	 Reactome	 hsapiens	 50	 810	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-165159
"""PDE3B signalling"" pathway"	R-HSA-165160	 Reactome	 hsapiens	 8	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-165160
"""Inhibition of TSC complex formation by PKB"" pathway"	R-HSA-165181	 Reactome	 hsapiens	 6	 15	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-165181
"""Regulation of cholesterol biosynthesis by SREBP (SREBF)"" pathway"	R-HSA-1655829	 Reactome	 hsapiens	 65	 380	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1655829
"""Toll Like Receptor 4 (TLR4) Cascade"" pathway"	R-HSA-166016	 Reactome	 hsapiens	 148	 1742	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166016
"""Synthesis of PIPs at the plasma membrane"" pathway"	R-HSA-1660499	 Reactome	 hsapiens	 69	 857	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660499
"""Synthesis of PIPs at the Golgi membrane"" pathway"	R-HSA-1660514	 Reactome	 hsapiens	 32	 204	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660514
"""Synthesis of PIPs at the early endosome membrane"" pathway"	R-HSA-1660516	 Reactome	 hsapiens	 31	 226	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660516
"""Synthesis of PIPs at the late endosome membrane"" pathway"	R-HSA-1660517	 Reactome	 hsapiens	 22	 169	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660517
"""MyD88:MAL(TIRAP) cascade initiated on plasma membrane"" pathway"	R-HSA-166058	 Reactome	 hsapiens	 118	 1170	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166058
"""Sphingolipid de novo biosynthesis"" pathway"	R-HSA-1660661	 Reactome	 hsapiens	 80	 432	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660661
"""Glycosphingolipid metabolism"" pathway"	R-HSA-1660662	 Reactome	 hsapiens	 86	 381	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1660662
"""MyD88-independent TLR4 cascade"" pathway"	R-HSA-166166	 Reactome	 hsapiens	 107	 1167	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166166
"""mTORC1-mediated signalling"" pathway"	R-HSA-166208	 Reactome	 hsapiens	 28	 352	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166208
"""The activation of arylsulfatases"" pathway"	R-HSA-1663150	 Reactome	 hsapiens	 17	 79	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-1663150
"""Signaling by NTRKs"" pathway"	R-HSA-166520	 Reactome	 hsapiens	 146	 1093	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166520
"""Complement cascade"" pathway"	R-HSA-166658	 Reactome	 hsapiens	 155	 3541	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166658
"""Lectin pathway of complement activation"" pathway"	R-HSA-166662	 Reactome	 hsapiens	 15	 49	 10-05-2021	 http://reactome.org/PathwayBrowser/#/R-HSA-166662
